AggregateName,WellName,CorpID,Update_Date,Update_User
Angie,McSwain A 1 H,13042505-000,2019-09-18 08:13:12.000,Travis Comer
Angie,McSwain B 1 H,13176292-000,2019-09-18 08:13:13.000,Travis Comer
Angie,Red River A 1 H,13285248-000,2019-09-18 08:13:00.000,Travis Comer
Angie,Red River B 1 H,13330875-000,2019-09-18 08:13:04.000,Travis Comer
Angie,Rusk 593 A 1 H,13471896-000,2019-09-18 08:13:15.000,Travis Comer
Angie,Rusk 593 B 1 H,13656946-000,2019-09-18 08:13:51.000,Travis Comer
Blocker,Dorsett 6H,10409437-000,2019-09-18 08:31:15.000,Travis Comer
Blocker,Young B 1,11992732-001,2019-09-18 08:31:20.000,Travis Comer
Blocker,Kathleen Resch 1,11992738-000,2019-09-18 08:31:16.000,Travis Comer
Blocker,Brewster 1,11992758-000,2019-09-18 08:31:14.000,Travis Comer
Blocker,Brune Burnett B 1,11992781-000,2019-09-18 08:31:15.000,Travis Comer
Blocker,Mary Roden 1,11992792-000,2019-09-18 08:31:16.000,Travis Comer
Blocker,T W George B 1,11992794-000,2019-09-18 08:31:18.000,Travis Comer
Blocker,Knackstedt 1,11992808-000,2019-09-18 08:31:16.000,Travis Comer
Blocker,Becker 1,11992813-000,2019-09-18 08:31:14.000,Travis Comer
Blocker,Thompson 1,11992844-000,2019-09-18 08:31:18.000,Travis Comer
Blocker,Patterson Herrin 1,11992845-000,2019-09-18 08:31:17.000,Travis Comer
Blocker,Bath A 1,11992864-000,2019-09-18 08:31:14.000,Travis Comer
Blocker,Katherine Brown 1,11992865-000,2019-09-18 08:31:16.000,Travis Comer
Blocker,Bath B 1,11992872-000,2019-09-18 08:31:14.000,Travis Comer
Blocker,Maude Brown 1,11992878-000,2019-09-18 08:31:17.000,Travis Comer
Blocker,Runnels 1,11992879-000,2019-09-18 08:31:18.000,Travis Comer
Blocker,Washington 1,11992884-000,2019-09-18 08:31:19.000,Travis Comer
Blocker,Roscoe 1,11992885-000,2019-09-18 08:31:18.000,Travis Comer
Blocker,Rosborough 1,11992903-000,2019-09-18 08:31:18.000,Travis Comer
Blocker,Ware A 1,11992912-000,2019-09-18 08:31:19.000,Travis Comer
Blocker,Amis 1,11992928-000,2019-09-18 08:31:14.000,Travis Comer
Blocker,Justice 1,11992937-000,2019-09-18 08:31:16.000,Travis Comer
Blocker,Coats 1,11992940-000,2019-09-18 08:31:15.000,Travis Comer
Blocker,Greer 1,11992944-000,2019-09-18 08:31:15.000,Travis Comer
Blocker,Allen 1,11992949-000,2019-09-18 08:31:13.000,Travis Comer
